mode,sample_id,control,score
2d,train__c11__user1__6-1-1,different_action,0.8342225723958788
2d,train__c11__user1__6-1-1,time_shuffle,0.9192906101343589
2d,train__c11__user1__6-1-1,left_right_swap,0.745791023204567
2d,train__c11__user1__6-1-2,positive_same_trial,0.9321640198512968
2d,train__c11__user1__6-1-2,same_action_other_trial,0.8231627837828731
2d,train__c11__user1__6-1-2,different_action,0.7986123132822458
2d,train__c11__user1__6-1-2,time_shuffle,0.9136664913824032
2d,train__c11__user1__6-1-2,left_right_swap,0.7491806715224139
2d,train__c11__user1__6-1-3,positive_same_trial,0.9272917254840904
2d,train__c11__user1__6-1-3,same_action_other_trial,0.8419312087326302
2d,train__c11__user1__6-1-3,different_action,0.827829709073849
2d,train__c11__user1__6-1-3,time_shuffle,0.9006020859123413
2d,train__c11__user1__6-1-3,left_right_swap,0.7437995094357063
2d,train__c12__user1__6-2-1,positive_same_trial,0.8903177110311817
2d,train__c12__user1__6-2-1,same_action_other_trial,0.8471154165468658
2d,train__c12__user1__6-2-1,different_action,0.6307675807507197
2d,train__c12__user1__6-2-1,time_shuffle,0.8347770709412644
2d,train__c12__user1__6-2-1,left_right_swap,0.7572127994768924
2d,train__c12__user1__6-2-2,positive_same_trial,0.8440716641878582
2d,train__c12__user1__6-2-2,same_action_other_trial,0.8233179530108187
2d,train__c12__user1__6-2-2,different_action,0.6033098550502336
2d,train__c12__user1__6-2-2,time_shuffle,0.7683373532189114
2d,train__c12__user1__6-2-2,left_right_swap,0.6965113673824
2d,train__c12__user1__6-2-3,positive_same_trial,0.8745875040603096
2d,train__c12__user1__6-2-3,same_action_other_trial,0.8000193072662728
2d,train__c12__user1__6-2-3,different_action,0.6325729340342934
2d,train__c12__user1__6-2-3,time_shuffle,0.7873289417250819
2d,train__c12__user1__6-2-3,left_right_swap,0.6917729583528749
2d,train__c13__user1__3-2-1,positive_same_trial,0.8147983706933543
2d,train__c13__user1__3-2-1,same_action_other_trial,0.7910100458587502
2d,train__c13__user1__3-2-1,different_action,0.5826042574904514
2d,train__c13__user1__3-2-1,time_shuffle,0.7741054226111804
2d,train__c13__user1__3-2-1,left_right_swap,0.7698769342086192
2d,train__c13__user1__3-2-2,positive_same_trial,0.8190778420874504
2d,train__c13__user1__3-2-2,same_action_other_trial,0.7656507386105169
2d,train__c13__user1__3-2-2,different_action,0.6144798454506661
2d,train__c13__user1__3-2-2,time_shuffle,0.7686549706760477
2d,train__c13__user1__3-2-2,left_right_swap,0.7803068379261331
2d,train__c13__user1__3-2-3,positive_same_trial,0.8060254819771908
2d,train__c13__user1__3-2-3,same_action_other_trial,0.7625876276509831
2d,train__c13__user1__3-2-3,different_action,0.632973212595511
2d,train__c13__user1__3-2-3,time_shuffle,0.7756558112236803
2d,train__c13__user1__3-2-3,left_right_swap,0.7699781950717316
2d,train__c14__user1__1-2-1,positive_same_trial,0.9156642059640198
2d,train__c14__user1__1-2-1,same_action_other_trial,0.845299935104082
2d,train__c14__user1__1-2-1,different_action,0.8158346140821908
2d,train__c14__user1__1-2-1,time_shuffle,0.9143762780157123
2d,train__c14__user1__1-2-1,left_right_swap,0.8188623171770733
2d,train__c14__user1__1-2-2,positive_same_trial,0.933517275792157
2d,train__c14__user1__1-2-2,same_action_other_trial,0.9104787342720058
