mode,sample_id,class_id,action_name,user_id,trial_id,frames,best_shift_frames,coverage,rmse,pck,angle_correlation,velocity_correlation,matching_score,rank,gallery_size,retrieval_top1,retrieval_top5,reciprocal_rank
2d,train__c06__user19__3-2-1,6,Drink_water,user19,3-2-1,13,2,0.8863636363636364,0.3744151339105704,0.5897435897435898,0.5743379088105658,-0.10482415104726002,0.63756731754785,13.0,171.0,0.0,0.0,0.07692307692307693
25d,train__c06__user19__3-2-1,6,Drink_water,user19,3-2-1,13,1,0.7430555555555556,0.6308634276569979,0.37383177570093457,0.2907659120134856,0.24530406793577528,0.5023874284876012,69.0,171.0,0.0,0.0,0.014492753623188406
2d,train__c06__user19__3-2-2,6,Drink_water,user19,3-2-2,11,2,0.8518518518518519,0.3171660227804963,0.6739130434782609,0.5308313946287261,0.10339034061961713,0.6916747741075726,6.0,171.0,0.0,0.0,0.16666666666666666
25d,train__c06__user19__3-2-2,6,Drink_water,user19,3-2-2,11,1,0.5666666666666667,0.5394217630938409,0.29411764705882354,0.48689920910156376,0.10436176387632151,0.4499484257499001,70.0,171.0,0.0,0.0,0.014285714285714285
2d,train__c06__user19__3-2-3,6,Drink_water,user19,3-2-3,17,0,0.8333333333333334,0.09512012908545008,0.9647058823529412,0.9856840987022127,0.27925883616574454,0.9084343912101032,1.0,171.0,1.0,1.0,1.0
25d,train__c06__user19__3-2-3,6,Drink_water,user19,3-2-3,17,-1,0.8072916666666666,0.4196220747174028,0.36774193548387096,0.7221776017582752,0.1519009929643787,0.5415975658309516,16.0,171.0,0.0,0.0,0.0625
2d,train__c06__user19__7-2-1,6,Drink_water,user19,7-2-1,16,0,0.8333333333333334,0.10842242100527069,0.95,0.9361807132022494,0.4178876242068997,0.9057929764690758,1.0,171.0,1.0,1.0,1.0
25d,train__c06__user19__7-2-1,6,Drink_water,user19,7-2-1,16,2,0.8333333333333334,0.29252800820476893,0.5071428571428571,0.7456275377416631,0.2151570548923491,0.6279614376529973,1.0,171.0,1.0,1.0,1.0
2d,train__c06__user19__7-2-2,6,Drink_water,user19,7-2-2,20,1,0.8377192982456141,0.1292500361677831,0.8691099476439791,0.9748070377540311,0.39767286116327133,0.8640885693913984,1.0,171.0,1.0,1.0,1.0
25d,train__c06__user19__7-2-2,6,Drink_water,user19,7-2-2,20,0,0.8458333333333333,0.3519777581167634,0.32019704433497537,0.6929319558481338,0.2582283561356652,0.524352030012558,5.0,171.0,0.0,1.0,0.2
