mode,class_id,action_name,trials,frames,coverage,rmse,pck,angle_correlation,velocity_correlation,matching_score,retrieval_top1,retrieval_top5,reciprocal_rank
25d,18,Write,25,29.76,0.7820237949179853,0.5645610470804727,0.31235118474128165,0.2612295082965182,0.26663615734944107,0.4703162852583151,0.25,0.5416666666666666,0.3984591863089249
25d,19,Make_a_phone_call,35,35.371428571428574,0.95843234669562,0.6698373724830903,0.3198062608821289,0.34165440632642835,0.2531251444602616,0.4998865046218954,0.2857142857142857,0.5428571428571428,0.40713415871392605
25d,20,Check_the_time,67,17.73134328358209,0.8741968938990082,0.6092016501150619,0.3489714426772396,0.4581971539760157,0.31773988759731425,0.5158400183006849,0.23076923076923078,0.5076923076923077,0.347412104960027
25d,21,Read_documents,51,40.529411764705884,0.8587132790517328,0.5238109735215296,0.388498514816244,0.29466355360387514,0.1842371069463296,0.507752852512713,0.24489795918367346,0.6530612244897959,0.4176000943226254
25d,22,Turn_pages,48,36.354166666666664,0.8459483482581492,0.49364527155962573,0.4064672522283753,0.3829078643204513,0.17300613345695717,0.5281519417597077,0.2391304347826087,0.6304347826086957,0.4039996461871462
25d,23,Listen_to_music_with_headphones,57,38.578947368421055,0.8700850284532523,0.5987848344281254,0.3487265035564443,0.604103052325339,0.22949435032308066,0.5297666988909241,0.5178571428571429,0.6428571428571429,0.598712187290405
25d,24,Use_a_mobile_phone,31,31.64516129032258,0.9051379129281246,0.5172699309801732,0.4411132406887276,0.5414626239851587,0.2943685638351305,0.5843499783577634,0.25806451612903225,0.6451612903225806,0.420584881068752
25d,25,Watch_TV,6,51.166666666666664,0.9408312047679864,0.8573408768122056,0.4506934120687011,0.1570297060116221,0.3074981170065165,0.5557298264912353,0.5,0.6666666666666666,0.5637125220458553
25d,26,Play_games,26,39.38461538461539,0.8965645947278781,0.5555797257130954,0.4013111217101283,0.7091391053145636,0.16896955513822662,0.5540451893004043,0.2916666666666667,0.7916666666666666,0.47111187423687423
25d,27,Take_a_selfie,27,33.55555555555556,0.7835291414275609,0.7030964975020352,0.38827987234683636,0.5964201160176371,0.20577078408373897,0.5307201251191498,0.4583333333333333,0.7083333333333334,0.5683530674478484
