difficulty_rank,epoch,class_id,action_name,train_support,val_support,precision,recall,f1,predicted_count,correct_count,true_probability_mean,true_rank_mean,true_rank_median,top_confused_class_id,top_confused_action,top_confusion_count,correct_confidence_mean,wrong_confidence_mean
23,9,11,Peel_fruits,88,18,0.3,0.5,0.375,30,9,0.4323725402355194,4.777777777777778,2.0,6,Drink_water,2,0.8016273379325867,0.46472060680389404
24,9,31,Do_stretching_exercises,67,18,0.42857142857142855,0.3333333333333333,0.375,14,6,0.3226886987686157,5.555555555555555,2.0,30,Do_jumping_jacks,5,0.6614565253257751,0.46644195914268494
25,9,12,Sweep_the_floor,50,9,0.36363636363636365,0.4444444444444444,0.4,11,4,0.29226166009902954,6.666666666666667,2.0,13,Mop_the_floor,2,0.46614640951156616,0.40072959661483765
26,9,21,Read_documents,56,15,0.32,0.5333333333333333,0.4,25,8,0.27169355750083923,3.6666666666666665,1.0,11,Peel_fruits,3,0.4568658471107483,0.5013169050216675
27,9,23,Listen_to_music_with_headphones,58,17,0.38095238095238093,0.47058823529411764,0.42105263157894735,21,8,0.29253050684928894,5.176470588235294,2.0,12,Sweep_the_floor,2,0.594643235206604,0.6298624873161316
28,9,15,Wipe_windows_and_tables,43,9,0.6,0.3333333333333333,0.42857142857142855,5,3,0.3056427240371704,4.888888888888889,2.0,36,Walk,3,0.5543888211250305,0.5236735343933105
29,9,1,Brush_teeth,36,12,0.6666666666666666,0.3333333333333333,0.4444444444444444,6,4,0.15320998430252075,5.916666666666667,5.5,38,Massage_oneself,4,0.4095761775970459,0.44975799322128296
30,9,9,Pour_drinks,114,16,0.5294117647058824,0.5625,0.5454545454545454,17,9,0.42278754711151123,3.4375,1.0,14,Wipe_bowls,3,0.6758992671966553,0.5415107011795044
31,9,17,Tap_the_keyboard,69,17,0.4444444444444444,0.7058823529411765,0.5454545454545454,27,12,0.5615285634994507,3.5294117647058822,1.0,15,Wipe_windows_and_tables,2,0.7828084826469421,0.5475814938545227
32,9,4,Wipe_hands,55,15,0.5714285714285714,0.5333333333333333,0.5517241379310345,14,8,0.4211900532245636,2.1333333333333333,1.0,0,Wash_face,3,0.7321219444274902,0.7789364457130432
33,9,29,Do_squats,62,15,0.875,0.4666666666666667,0.6086956521739131,8,7,0.3705191910266876,5.8,2.0,3,Take_off_clothes,6,0.7348925471305847,0.4691252112388611
34,9,28,Jog_in_place,26,11,0.8571428571428571,0.5454545454545454,0.6666666666666666,7,6,0.3327207565307617,3.0,1.0,36,Walk,2,0.5404428839683533,0.5176443457603455
35,9,30,Do_jumping_jacks,38,6,0.5,1.0,0.6666666666666666,12,6,0.9188106656074524,1.0,1.0,-1,,0,0.9188106656074524,
36,9,33,Lie_down,27,6,1.0,0.5,0.6666666666666666,3,3,0.3743242025375366,6.833333333333333,5.5,21,Read_documents,3,0.7442547678947449,0.3107158839702606
37,9,34,Sit_down,115,31,0.5918367346938775,0.9354838709677419,0.725,49,29,0.8970621824264526,1.064516129032258,1.0,29,Do_squats,1,0.9499210119247437,0.7539594173431396
38,9,32,Stand_up,60,24,0.6857142857142857,1.0,0.8135593220338984,35,24,0.8541052937507629,1.0,1.0,-1,,0,0.8541052937507629,
39,9,0,Wash_face,32,12,0.7857142857142857,0.9166666666666666,0.8461538461538461,14,11,0.7498257756233215,1.1666666666666667,1.0,3,Take_off_clothes,1,0.8014925122261047,0.34173068404197693
40,9,36,Walk,260,71,0.8433734939759037,0.9859154929577465,0.9090909090909091,83,70,0.9840493202209473,1.0140845070422535,1.0,32,Stand_up,1,0.9980062246322632,0.9887008666992188
