class_id,action_name,val_support,base_f1,base_recall,base_true_rank_mean,mobilenet_f1,mobilenet_recall,mobilenet_true_rank_mean,mobilenet_rescued,mobilenet_harmed,mobilenet_net_rescue,resnet18_f1,resnet18_recall,resnet18_true_rank_mean,resnet18_rescued,resnet18_harmed,resnet18_net_rescue,delta_resnet_vs_base,delta_resnet_vs_mobilenet
20,Check_the_time,12,0.1111111111111111,0.16666666666666666,5.5,0.10526315789473684,0.16666666666666666,4.166666666666667,0,0,0,0.10256410256410256,0.16666666666666666,4.666666666666667,0,0,0,-0.008547008547008544,-0.0026990553306342757
21,Read_documents,15,0.3333333333333333,0.2,8.4,0.45161290322580644,0.4666666666666667,11.266666666666667,4,0,4,0.42105263157894735,0.26666666666666666,7.333333333333333,1,0,1,0.08771929824561403,-0.030560271646859094
22,Turn_pages,9,0.3157894736842105,0.3333333333333333,6.333333333333333,0.3333333333333333,0.3333333333333333,6.444444444444445,1,1,0,0.2727272727272727,0.3333333333333333,5.0,0,0,0,-0.0430622009569378,-0.06060606060606061
23,Listen_to_music_with_headphones,17,0.23076923076923078,0.17647058823529413,8.235294117647058,0.3448275862068966,0.29411764705882354,5.588235294117647,2,0,2,0.4,0.35294117647058826,6.352941176470588,3,0,3,0.16923076923076924,0.05517241379310345
24,Use_a_mobile_phone,16,0.08333333333333333,0.0625,5.75,0.25,0.1875,8.3125,2,0,2,0.18181818181818182,0.125,5.5,1,0,1,0.0984848484848485,-0.06818181818181818
25,Watch_TV,6,0.0,0.0,13.833333333333334,0.0,0.0,32.166666666666664,0,0,0,0.0,0.0,19.333333333333332,0,0,0,0.0,0.0
26,Play_games,12,0.2608695652173913,0.25,8.166666666666666,0.25,0.16666666666666666,15.583333333333334,1,2,-1,0.5,0.5,7.666666666666667,3,0,3,0.2391304347826087,0.25
27,Take_a_selfie,14,0.29411764705882354,0.35714285714285715,8.285714285714286,0.3076923076923077,0.2857142857142857,12.357142857142858,0,1,-1,0.3225806451612903,0.35714285714285715,8.428571428571429,0,0,0,0.028462998102466774,0.014888337468982604
28,Jog_in_place,11,0.6428571428571429,0.8181818181818182,1.2727272727272727,0.6206896551724138,0.8181818181818182,1.2727272727272727,0,0,0,0.6206896551724138,0.8181818181818182,1.2727272727272727,0,0,0,-0.022167487684729092,0.0
29,Do_squats,15,0.56,0.4666666666666667,4.533333333333333,0.56,0.4666666666666667,4.066666666666666,0,0,0,0.56,0.4666666666666667,4.133333333333334,0,0,0,0.0,0.0
