class_id,action_name,train_support,val_support,precision_best_accuracy,recall_best_accuracy,f1_best_accuracy,predicted_count_best_accuracy,correct_count_best_accuracy,true_probability_mean_best_accuracy,true_rank_mean_best_accuracy,true_rank_median_best_accuracy,top_confused_class_best_accuracy,top_confused_action_best_accuracy,top_confusion_count_best_accuracy,precision_best_macro,recall_best_macro,f1_best_macro,predicted_count_best_macro,correct_count_best_macro,true_probability_mean_best_macro,true_rank_mean_best_macro,true_rank_median_best_macro,top_confused_class_best_macro,top_confused_action_best_macro,top_confusion_count_best_macro,delta_precision_macro_minus_accuracy,delta_recall_macro_minus_accuracy,delta_f1_macro_minus_accuracy,delta_predicted_count_macro_minus_accuracy,delta_true_rank_macro_minus_accuracy
26,Play_games,28,12,0.3333333333333333,0.3333333333333333,0.3333333333333333,12,4,0.2216823101043701,9.666666666666666,8.5,20,Check_the_time,4,0.2727272727272727,0.25,0.2608695652173913,11,3,0.19061841070652,8.166666666666666,2.5,10,Stir_drinks,3,-0.0606060606060606,-0.0833333333333333,-0.072463768115942,-1,-1.5
7,Eat_food,122,32,0.875,0.21875,0.35,8,7,0.2072670459747314,9.125,4.0,11,Peel_fruits,5,0.5238095238095238,0.34375,0.4150943396226415,21,11,0.269739419221878,5.09375,4.0,11,Peel_fruits,10,-0.3511904761904761,0.125,0.0650943396226415,13,-4.03125
11,Peel_fruits,88,18,0.3,0.5,0.375,30,9,0.4323725402355194,4.777777777777778,2.0,6,Drink_water,2,0.1714285714285714,0.3333333333333333,0.2264150943396226,35,6,0.3394036293029785,4.944444444444445,2.5,10,Stir_drinks,5,-0.1285714285714285,-0.1666666666666666,-0.1485849056603773,5,0.1666666666666669
31,Do_stretching_exercises,67,18,0.4285714285714285,0.3333333333333333,0.375,14,6,0.3226886987686157,5.555555555555555,2.0,30,Do_jumping_jacks,5,0.375,0.5,0.4285714285714285,24,9,0.3771809637546539,6.277777777777778,1.5,20,Check_the_time,4,-0.0535714285714285,0.1666666666666666,0.0535714285714285,10,0.7222222222222223
12,Sweep_the_floor,50,9,0.3636363636363636,0.4444444444444444,0.4,11,4,0.2922616600990295,6.666666666666667,2.0,13,Mop_the_floor,2,0.25,0.1111111111111111,0.1538461538461538,4,1,0.2125464528799057,4.888888888888889,2.0,13,Mop_the_floor,5,-0.1136363636363636,-0.3333333333333333,-0.2461538461538461,-7,-1.7777777777777777
21,Read_documents,56,15,0.32,0.5333333333333333,0.4,25,8,0.2716935575008392,3.6666666666666665,1.0,11,Peel_fruits,3,1.0,0.2,0.3333333333333333,3,3,0.1718290299177169,8.4,2.0,22,Turn_pages,4,0.6799999999999999,-0.3333333333333333,-0.0666666666666667,-22,4.733333333333334
23,Listen_to_music_with_headphones,58,17,0.3809523809523809,0.4705882352941176,0.4210526315789473,21,8,0.2925305068492889,5.176470588235294,2.0,12,Sweep_the_floor,2,0.3333333333333333,0.1764705882352941,0.2307692307692307,9,3,0.138219952583313,8.235294117647058,8.0,6,Drink_water,5,-0.0476190476190476,-0.2941176470588235,-0.1902834008097165,-12,3.058823529411764
15,Wipe_windows_and_tables,43,9,0.6,0.3333333333333333,0.4285714285714285,5,3,0.3056427240371704,4.888888888888889,2.0,36,Walk,3,0.25,0.6666666666666666,0.3636363636363636,24,6,0.5355086922645569,6.555555555555555,1.0,31,Do_stretching_exercises,2,-0.35,0.3333333333333333,-0.0649350649350649,19,1.666666666666666
1,Brush_teeth,36,12,0.6666666666666666,0.3333333333333333,0.4444444444444444,6,4,0.1532099843025207,5.916666666666667,5.5,38,Massage_oneself,4,0.6666666666666666,0.5,0.5714285714285714,9,6,0.3577028214931488,2.333333333333333,1.5,2,Comb_hair,2,0.0,0.1666666666666666,0.1269841269841269,3,-3.583333333333333
9,Pour_drinks,114,16,0.5294117647058824,0.5625,0.5454545454545454,17,9,0.4227875471115112,3.4375,1.0,14,Wipe_bowls,3,0.4444444444444444,0.5,0.4705882352941176,18,8,0.3934360146522522,2.875,1.5,10,Stir_drinks,3,-0.0849673202614379,-0.0625,-0.0748663101604277,1,-0.5625
