scope,view,mobilenet_mean_weight,resnet18_mean_weight,delta_resnet_minus_mobilenet
Read_documents,hand_head_union,1.7285564983332598e-05,1.3030998502472358e-12,-1.7285563680232747e-05
Read_documents,two_hand_table_context,0.058645760855286326,8.336778964677403e-06,-0.05863742407632165
Drink_water,global_context,0.16612051595271282,0.5384402157465585,0.3723196997938457
Drink_water,left_interaction,0.1880516109843688,0.3853792970374291,0.19732768605306034
Drink_water,right_interaction,0.5169271749735745,0.06527349569576447,-0.4516536792778101
Drink_water,hand_head_union,0.12143221774970772,0.006644453174386574,-0.11478776457532115
Drink_water,two_hand_table_context,0.007468503296782904,0.0042625340126822755,-0.003205969284100629
Eat_food,global_context,0.21133222103591667,0.46856335458713505,0.2572311335512184
Eat_food,left_interaction,0.2710659111293465,0.3221964202971121,0.05113050916776557
Eat_food,right_interaction,0.36039170011302063,0.04518447700716845,-0.3152072231058522
Eat_food,hand_head_union,0.06326372191252735,0.004301285667995123,-0.058962436244532235
Eat_food,two_hand_table_context,0.09394645000825926,0.15975445682093944,0.06580800681268019
