class_id,action_name,frames,person_success,left_wrist_success,right_wrist_success,at_least_one_wrist_success,upper_body_fallback,left_hand_fallback,right_hand_fallback,upper_body_area_ratio,left_hand_area_ratio,right_hand_area_ratio
23,Listen_to_music_with_headphones,2817,0.9833155839545616,0.9726659566915158,0.9747958821441248,0.9751508697195598,0.023429179978700747,0.010294639687610933,0.008874689385871494,0.051407978118502756,0.014958429725871764,0.014913597850034455
24,Use_a_mobile_phone,1535,0.986970684039088,0.9856677524429968,0.9817589576547232,0.986970684039088,0.013029315960912053,0.007817589576547232,0.007817589576547232,0.044674561893512835,0.017218832846379047,0.01725241209377295
25,Watch_TV,459,0.971677559912854,0.971677559912854,0.971677559912854,0.971677559912854,0.02832244008714597,0.013071895424836602,0.013071895424836602,0.05573148755985667,0.016884332194047814,0.017019559420271897
26,Play_games,1384,0.9848265895953756,0.9848265895953756,0.972543352601156,0.9848265895953756,0.015173410404624277,0.013728323699421965,0.02745664739884393,0.04439884159347914,0.01627705289815375,0.016287377820151046
27,Take_a_selfie,1284,0.8940809968847352,0.8933021806853583,0.8940809968847352,0.8940809968847352,0.1059190031152648,0.0778816199376947,0.0778816199376947,0.11797491512101758,0.03262936636062797,0.032665546182717116
28,Jog_in_place,1375,1.0,1.0,0.9963636363636365,1.0,0.0,0.0,0.0,0.08501527127352627,0.01218056431683627,0.012079846447164363
29,Do_squats,2446,0.9934587080948488,0.9803761242845462,0.9926410466067048,0.9934587080948488,0.006950122649223222,0.0028618152085036794,0.0,0.06911870521643274,0.012281105406612815,0.012275148371961014
30,Do_jumping_jacks,1401,1.0,0.9814418272662384,0.9992862241256244,1.0,0.0,0.0021413276231263384,0.0,0.1593672084774314,0.024262200724559542,0.023914986313304076
31,Do_stretching_exercises,2618,0.9873949579831932,0.9835752482811306,0.9774637127578304,0.9858670741023682,0.013750954927425516,0.006875477463712758,0.012223071046600458,0.12778153002398718,0.019647684195872206,0.019585745763446284
32,Stand_up,895,0.9463687150837988,0.9463687150837988,0.9162011173184358,0.9463687150837988,0.053631284916201116,0.03240223463687151,0.04357541899441341,0.06513264135941446,0.01916157694419003,0.01915651860350337
33,Lie_down,1108,0.7166064981949458,0.7157039711191335,0.7148014440433214,0.7166064981949458,0.2833935018050541,0.22472924187725632,0.22472924187725632,0.18039394153907412,0.07623992268574367,0.07660233388093404
34,Sit_down,1764,0.9863945578231292,0.9846938775510204,0.9739229024943312,0.985827664399093,0.01473922902494331,0.0,0.0017006802721088435,0.049808586552705356,0.013015777584325835,0.013031116602287677
35,Do_lunges,944,0.972457627118644,0.972457627118644,0.9608050847457628,0.972457627118644,0.02754237288135593,0.02754237288135593,0.02754237288135593,0.09757202241759179,0.02523687363491725,0.025282988861455757
36,Walk,6133,0.9085276373715964,0.7405837273764878,0.7304744823088212,0.7961845752486548,0.19126039458666233,0.2166965595956302,0.2222403391488668,0.19697663994873793,0.04556153707185597,0.045366827779996656
37,Take_medicine,1786,0.9977603583426652,0.9977603583426652,0.9613661814109744,0.9977603583426652,0.0022396416573348264,0.0,0.018477043673012318,0.14063109060351017,0.021497180929442937,0.021508594057110763
38,Massage_oneself,2101,0.9957163255592576,0.9957163255592576,0.97715373631604,0.9957163255592576,0.004283674440742504,0.0,0.015706806282722512,0.07637362100577592,0.015437367638623583,0.015417088555444257
39,Take_body_temperature,1311,0.9984744469870328,0.9984744469870328,0.9832189168573608,0.9984744469870328,0.0015255530129672007,0.0,0.007627765064836003,0.1042772698820683,0.014385863968109376,0.014513487213672708
